0,Station Name,Station No.,Station ID,Station Type,Station Easting,Station Northing
289,Sills of Clyde,133126,36216,Flow,292837.0007,642385.9998
290,Skeabost,234313,37506,Flow,141496.0006,848660.9999
291,Spiers Bridge,133128,36220,Flow,254539.0007,658950.0003
292,Spilmersford,14871,36412,Flow,345618.0008,668891.0004
293,Sprouston,15012,36854,Flow,375172.0008,635341.0004
294,St Michaels,14930,36608,Flow,344033.0008,722381.0002
295,Stobs Castle,345032,37830,Flow,350644.0008,610034.9997
296,Strathmiglo,14931,36612,Flow,322508.0008,710162.9998
297,Strathpeffer,234316,37520,Flow,249292.0007,858687.9998
298,Strathy Bridge,234319,37524,Flow,283584.0007,965144.9998
299,Tarroul,234324,37534,Flow,326202.0008,954915.0001
300,Teviothead,14999,36826,Flow,340703.0008,605754.0001
301,Tromie Bridge,234327,37542,Flow,278926.0008,799628.9998
302,Tulliford Mill,133130,36224,Flow,289388.0008,640313.9995
303,Turnhouse,14883,36442,Flow,316068.0008,673288.9998
304,Unthank Bridge,506153,38218,Flow,338583.0008,594778.9996
305,Upper Monachyle,116007,35960,Flow,248018.0007,724996.0003
306,Victoria Bridge,133131,36228,Flow,227099.0007,742192.9995
307,Wardend Bridge,234331,37552,Flow,303930.0007,855845.0002
308,Waterhead,133178,36370,Flow,254065.0007,611351.9997
309,Waterside,133133,36232,Flow,259565.0007,656201.9996
310,Waterside Perth,369554,37982,Flow,350104.0008,778961.0002
311,Weisdale Mill,116008,35966,Flow,439470.0008,1153000
312,Wellsies Burn,368491,37946,Flow,320498.0008,737506.0001
313,Wellwood,133135,36236,Flow,265989.0007,626182.0003
314,Wester Cardean,14944,36642,Flow,329426.0008,746595.0003
315,Wheeb Bridge,502896,38192,Flow,230226.0008,580527.0003
316,Whitburn,14881,36432,Flow,294792.0008,665548.0003
317,White Bridge,355980,37866,Flow,239190.0007,830171.9995
318,White Laggan,133180,36374,Flow,246790.0007,578119.9995
319,Woodend,234333,37558,Flow,363482.0008,795613.0002
320,Woodfoot,133182,36382,Flow,309990.0008,600900.0003
